"Quelles notes de musique précédaient le mot ""chanter"", selon le titre d'une émission télévisée des années 1990 ?";Do ré mi;Fa si la;si la sol;Do sol mi;Fa si la
Quel mot provençal désigne un lutin, taquin et espiègle, doué de pouvoirs fantastiques ?;Farfadet;Faradet;Goule;Gobelin;Farfadet
"Complétez ces paroles d'une chanson de Michel Sardou de 1975 : ""Ne m'appelez plus jamais…";France;Michouille;Star;Jeff;France
Contre quelle autre créature de saga Alien se bat-il dans un film de 2004 ?;Predator;Humain;Animaux;Marciens;Predator
Au poker, que faut-il ajouter à un brelan pour obtenir un full ?;Une dame ;Un as;Une paire ;Une suite;Une paire
A quel poste Steve Mandanda joue-t-il en équipe de France de football ?;Gardien;Attaquant;Défenseur;Millieu;Gardien
Dans la mythologie grecque, quelles femmes guerrières se coupaient le sein droit pour pouvoir tirer à l'arc ?;Les Amazones;Les valkyries;Les déesses;Les femmes guerrières;Les Amazones
De quel ours héros de dessin animé Coco Lapin est-il l'ami ?;Winnie l'Ourson;Balou;Bambi;Olaf;Winnie l'Ourson
"Dans la série ""Friends"", qui parmi les six amis travaille chez un grand styliste ?";Rachel;Phoebe;Monica;Joey;Rachel
"En Espagne, quel mot emploie-t-on généralement pour dire ""merci"" ?";Gracias;Danke;Grazie;Obrigado;Gracias
"Dans la chanson ""Vive le vent"", à qui souhaite-t-on bonne année ?";Grand-Mère;Père Noël;Grand-Père ;Maman;Grand-Mère
Dans le conte des frères Grimm, quel titre le père de Blanche-Neige porte-t-il ?;Roi;Paysan;Général;Major;Roi
Dans la mythologie égyptienne, quelle déesse est la soeur et la femme d'Osiris ?;Isis;Neith;Heh;Ptah;Isis
Dans les Charentes, et par définition, quel est l'aliment de base d'une mouclade ?;Moules;Viande de kebab;Poivron;Mouton;Moules
Dans les courses à la voile, quel nom spécifique donne-t-on aux bateaux à deux coques ?;Bicoque;Catamaran;Bateau à deux coque;Jack;Catamaran
Dans l'exercice de quelle discipline artistique peut-on réaliser des entrechats ?;Le chant ;La danse;La peinture;La sculpture;La danse 
Dans quel domaine artistique utilise-t-on généralement un diapason ?;La musique;La danse;La peinture;La sculpture;La musique
"Complétez les paroles de cette chanson de Johnny Hallyday : ""Un jour viendra, tu me diras...";Je t'aime;Va te faire foutre;Je meurs;Je pars;Je t'aime
"Quels mots précèdent ""à l'italienne"" dans le titre d'une chanson de Frédéric François de 1985 ?";Je t'aime;Va te faire foutre;Je meurs;Je pars;Je t'aime
Dans quel film Will Smith et Martin Lawrence jouent-ils un duo de policiers ?;Bad Boys;Je suis une légende;Independance Day;L'arme fatale;Bad Boys
"Qui chante ""Pas toi"" en 1985 ?";Jean Jaques Goldman;Jonny Halliday;Michel Sardou;Niska;Jean Jaques Goldman
Quel animal est le roitelet ?;Oiseau;Chat;Chien;Poisson;Oiseau
"Quel chanteur français interprète ""Chavirer les foules"" en 2007 ?";Jean Jaques Goldman;Jonny Halliday;Michel Sardou;Niska;Jonny Halliday
Dans quel pays se trouve le massif des Dolomites ?;Italie;Grèce;France;Papouasie;Italie
Dans quel sport l'Américain Maurice Greene s'est-il illustré ?;L'athlétisme;Le Football Américain;Le hockey;Le basket;L'athlétisme
En début de partie, combien y a-t-il de pions au total sur un plateau de backgammon ?;30;50;10;21;30
Selon l'expression familière, que coince-t-on quand on paresse ?;La bulle ;La boule;L'ennuis;La flemme;La bulle
Communément, qu'est-ce qu'un moutard en argot ?;Un petit garçon;Un vélo moteur;Un tube de colle;Un peneu;Un petit garçon
D'après la fable de Jean de La Fontaine, qui le rat de ville invite-t-il à manger ?;Le rat des champs;Le chat de la vieille ;Le rat de campagne;La femme du voisin;Le rat des champs
Quelle crème accompagne traditionnellement l'île flottante ?;La crème anglaise;La double crème fribourgeoise;La demi-crème;La crème acidulée;La crème anglaise
De quel pays la ville d'Helsinki est-elle la capitale ?;Finlande;Suède;Norveige;Danemark;Finlande
Quel alcool faut-il mélanger au sirop d'orgeat pour obtenir une mauresque ?;Du pastis;De la bière;De la vodka;Du vin;Du pastis
Quel mot désigne à la fois un fruit rouge et une collerette en dentelle portée au 16e et 17e siècle ?;La fraise;La cerise;La framboise;La mirtille;La fraise
En 1967, quel pays lance le sous-marin Le Redoutable ?;La France;L'amérique;La Russie;La Chine;La France
Quelle actrice est la mère des trois enfants de Bruce Willis ?;Demi Moore;Julia Roberts;Kate Blachette;Kate Winslette;Demi Moore
Quelle est la capitale du Sénégal ?;Dakar;Touba;Le Caire;Fès;Dakar
Dans quelle mer se jette le fleuve Mékong ?;La mer Noire;La mer de Chine;La mer d'Oman;La mer Baltique;La mer de Chine
Dans quelle mer peut-on se baigner en Roumanie ?;La mer Noire;La mer Noire;La mer Noire;La mer morte;La mer Noire
"Dans le film ""A propos d'Henry"", qui interprète l'avocat Henry Turner, devenu amnésique après une agression ?";Harrison Ford;Roger Moore;Sean Connery;Timothy Dalton;Harrison Ford
Dans quelle ville des Etats-Unis pouvez-vous aller au théâtre à Broadway ?;New York;Washington DC;Boston;Miami;New York
"Dans quelle ville du Nord Kad Merad est-il muté dans le film ""Bienvenue chez les Ch'tis"" ?";Bergues;Dunkerque;Roubaix;Ronchin;Bergues
Dans quelle ville Pierre de Coubertin institue-t-il, en 1896, les premiers jeux Olympiques de l'ère moderne ?;Athènes;Coubertin;Paris;Londres;Athènes
Entre 9 et 59, combien y a-t-il de multiples de 8 ?;1;6;4;5;6
"Quel groupe français interprète la chanson ""Butterfly"" en 2006 ?";Téléphone;Superbus;Aliage;Cellulaire;Superbus
Dans une chanson de 2002, qui affirme être Mister Renard ?;Renaud;MC Solaar;Francis Lalane;Florent Panni;Renaud
"Dans une de ses chansons, qui demande à son ""p'tit loup"" de ne pas pleurer en 1979 ?";Pierre Perret;Pierre Perrois;Jaques Brel;Michel Sardou;Pierre Perret
Sur un clavier d'ordinateur de type AZERTY, quel signe de ponctuation partage sa touche avec le point d'interrogation ?;Le point;La virgule;Le point virgule;Le point d'exclamation;La virgule
De combien de départements la région Lorraine est-elle composée ?;1;2;3;4;4
De quel arbre la noix de coco est-elle le fruit ?;Le cocotier;Le palmier;Le bananier;Le pommier;Le cocotier
"De quel footballeur dresse-t-on ""un portrait du 21e siècle"", d'après le titre d'un documentaire de 2006 ?";Maradona;Zidane;Ronaldinho;Ronaldo;Zidane
Au nord de quel pays asiatique trouve-t-on un mur de plus de 5 000 kilomètres ?;La Chine;Le Japon;La Corée du Sud;La Russie;La Chine
Dans quel pays la ville de Salvador, anciennement appelée Bahia, est-elle située ?;Le Bresil;Le Portugal;L'Espagne;Le Chili;Le Bresil
De quel groupe de superhéros Tornade et Wolverine sont-ils membres ?;Les 4 fantastique;Les X-men;Les fous du volant;La super équipe de super héros;Les X-men
"Quel animal est dit ""alezan"" quand sa robe est fauve, nuancée de jaune et de rouge ?";Le caméléon;Le cheval;le Chat;L'antilope;Le cheval
Avec le beurre et la crème fraîche, quel est l'ingrédient indispensable à la préparation d'une crème ganache ?;Le chocolat;La fraise;La noix de coco;Le sucre;Le chocolat
De quel pays Dmitri Medvedev a-t-il été élu président en mars 2008 ?;Russie;Ukraine;Biélorussi;Moldavie;Russie
Quel est l'instrument de musique de prédilection de Gilbert Montagné ?;Le piano;La guitare;La trompette;Le saxophone;Le piano
De quel pays la Castille est-elle une région ?;La France;L'Espagne;Le Portugal;L'Italie;L'Espagne
Quel organe du corps humain appelle-t-on familièrement le palpitant ?;Le cœur;Le pénis;Le poumon;Le rein;Le cœur
"Dans son one-man-show de 2004 intitulé ""Romantique"", quel humoriste écrit une lettre poétique à Véro ?";Frank Dubosc;Omar Sy;Gad Elmaleh;Coluche;Frank Dubosc
"Selon l'expression, quel fruit se garde-t-on ""pour la soif"" ?";Une poire;Une pomme;Une pasteque;Une orange;Une poire
De quelle couleur est la chemise de Lucky Luke ?;Jaune;Rouge;Orange;Verte;Jaune
De quelle couleur est la coquille d'oeuf que Calimero a sur la tête ?;Blanche;Brune;Noire;Jaune;Blanche
Selon la superstition, quel objet condamne celui qui le brise à sept ans de malheur ?;Le miroir;La corde de guitare;Le manche d'un ballet;Le lacet d'une chaussure;Le miroir
"Quel sport pratiquez-vous si vous réalisez un ""birdie"", un ""eagle"" ou un ""albatros"" ?";Le golf;Le tennis;Le badminton;La course de rallye;Le golf
Quel animal donne son nom à un slip d'homme muni d'une poche ouverte devant ?;Le kangourou;L'élephant;Le kiwi;L'espadon;Le kangourou
Dans quel pays la ville de Tombouctou est-elle située ?;Le Mali;Le Maroc;L'Iran;L'Irak;Le Mali
De quel fruit utilisé comme un condiment le pili-pili est-il une variété ?;Le piment;Le poivron;La noix de muscade;La noix de cajou;Le piment
"Dans quel livre peut-on lire la phrase : ""On ne voit bien qu'avec le coeur, l'essentiel est invisible pour les yeux"" ?";Harry Potter;Le petit prince;Le seigneur des anneaux;Fahrenheit 451;Le petit prince
En France, quel est le seul stade pouvant accueillir jusqu'à 80 000 spectateurs pour un match de football ?;Le Stade de France;Le parc des Princes;Orange vélodrome;Stade Pierre-Mauroy;Le Stade de France
Sur quelle couverture d'album voit-on Tintin et Milou cachés dans un vase ?;Le Lotus bleu;Le Lotus rouge;Le Lotus vert;Le Lotuce violet;Le Lotus bleu
"Dans quel sport pouvons nous faire la faute appelée ""Retour en zone"" ?";Le basketball;Le football;Le baseball;Le water-polo;Le basketball
Quelle est, après Jupiter, la 2e plus grosse planète du système solaire ?;Saturne;Pluton;Jupiter;Neptune;Saturne
Quel animal est la tanche ?;Un chien;Un poisson;Un chat;Un oiseau;Un poisson
Comment appelle-t-on les habitants de Reims ?;Les Rémois;Les Rémis;Les Rémiens;Les Rémifasolasido;Les Rémois
Qu'ajoute-t-on à un croque-monsieur pour en faire un croque-madame ?;Deux tranches de jambons;Un œuf au plat;Du bacon;Un pain brioché;Un œuf au plat
Combien de diagonales un losange possède-t-il ?;1;2;3;4;2
Combien de cordes un ukulélé traditionnel comporte-t-il ?;4;5;10;20;4
Dans quelle ville italienne se trouve le fameux pont du Rialto ?;Rome;Venise;Valence;Florence;Venise
Qui sont la Femme invisible, l'Homme élastique, la Torche et la Chose ?;Les 4 fantastiques;Les 4 Avengers;Justice League;Les Beatles;Les 4 fantastiques
Sur une télécommande, quelle touche a pour symbole un carré plein ? ;Pause;Play;Stop;Avancer d'un épisode;Stop
A quel âge n'est-on pas sérieux selon un poème d'Arthur Rimbaud ?;17 ans;18 ans;20 ans;50 ans;17 ans
Quelle lettre trouve-t-on juste après le E sur un clavier d'ordinateur ?;R;Z;T;W;R
"En 2005, quel héros de cinéma demande souvent si ""ça farte"" ?";Ethan Hunt;Brice de Nice;Tony Stark;Sacha de Bourg Palette;Brice de Nice
Dans quelle matière apprend-on les identités remarquables ?;Mathématiques;Français;Histoire;Physique;Mathématiques
En gymnastique, aux JO, quel agrès long de 5 m est reservé aux femmes ?;La poutre;Les barres paralèlles;Les anneaux;Cheval d'arçon;La poutre
En Formule 1, quel drapeau signale à un pilote qu'il a une pénalité ?;Un drapeau rouge;Un drapeau noir;Un drapeau quadrillé;Un drapeau blanc;Un drapeau noir
